Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Debentures,31-01-2012,988958,103.363885,17,2951,0.38,7.65,6.3
Debentures,31-01-2012,990936,102.92425,20,3021,0.33,7.65,6.3
Debentures,31-01-2012,985812,103.369138,20,3004,0.46,7.65,6.3
Debentures,31-01-2012,990341,169.39842,3,2980,0.51,7.65,6.3
Debentures,31-01-2012,986642,102.708548,14,2962,0.15,7.65,6.3
Debentures,31-01-2012,1002791,100.491725,16,3011,0.56,7.65,6.3
Debentures,31-01-2012,996590,100.645437,20,3031,0.55,7.65,6.3
Debentures,31-01-2012,1001387,105.858881,14,2988,0.21,7.65,6.3
Debentures,31-01-2012,960720,102.95875,20,2997,0.33,7.65,6.3
Debentures,31-01-2012,1003684,102.415747,8,3013,0.25,7.65,6.3
Debentures,31-01-2012,991969,102.593975,16,1969,0.27,7.65,6.3
Debentures,31-01-2012,991279,102.182769,20,2951,0.56,7.65,6.3
Debentures,31-01-2012,962278,103.445364,20,3016,0.49,7.65,6.3
Debentures,31-01-2012,1000143,103.626464,19,3032,0.43,7.65,6.3
Debentures,31-01-2012,974829,105.740123,15,1180,0.55,7.65,6.3
Debentures,31-01-2012,976804,179.9737,6,3045,0.01,7.65,6.3
Debentures,31-01-2012,975716,102.416799,20,2941,0.38,7.65,6.3
Debentures,31-01-2012,981359,107.672248,20,3002,0.35,7.65,6.3
Debentures,31-01-2012,995745,101.451178,12,3026,0.5,7.65,6.3
Debentures,31-01-2012,982149,101.128167,20,2973,0.42,7.65,6.3
Debentures,31-01-2012,839626,101.709224,4,2982,0.18,7.65,6.3
Debentures,31-01-2012,1000941,109.2435,20,2995,0.28,7.65,6.3
Debentures,31-01-2012,977223,102.244808,19,3049,0.31,7.65,6.3
Debentures,31-01-2012,962899,108.102526,11,3024,0.26,7.65,6.3
Debentures,31-01-2012,978783,104.563721,19,2984,0.37,7.65,6.3
Debentures,31-01-2012,964547,103.531915,20,2999,0.39,7.65,6.3
Debentures,31-01-2012,994158,105.016446,17,2952,0.16,7.65,6.3
Debentures,31-01-2012,1001279,179.9737,18,2969,0.43,7.65,6.3
Debentures,31-01-2012,998600,176.404726,9,3006,0.49,7.65,6.3
Debentures,31-01-2012,970310,101.261229,9,2990,0.33,7.65,6.3
Debentures,31-01-2012,973046,102.9343,12,2923,0.01,7.65,6.3
Debentures,31-01-2012,976105,100.673345,20,3018,0.22,7.65,6.3
Debentures,31-01-2012,1001820,103.831363,20,2301,0.31,7.65,6.3
Debentures,31-01-2012,970480,109.621392,18,2994,0.16,7.65,6.3
Debentures,31-01-2012,976512,103.361939,12,2966,0.57,7.65,6.3
Debentures,31-01-2012,963640,104.281342,18,3027,0.31,7.65,6.3
Debentures,31-01-2012,988332,100.420393,19,3022,0.2,7.65,6.3
Debentures,31-01-2012,988361,102.865219,19,2066,0.59,7.65,6.3
Debentures,31-01-2012,1001183,103.335594,20,1859,0.33,7.65,6.3
Debentures,31-01-2012,993324,106.971451,17,2952,0.34,7.65,6.3
Debentures,31-01-2012,992179,108.557689,18,3003,0.4,7.65,6.3
Debentures,31-01-2012,977131,175.715275,4,3020,0.2,7.65,6.3
Debentures,31-01-2012,962281,105.905122,20,2998,0.48,7.65,6.3
Debentures,31-01-2012,978492,99.369948,20,3031,0.21,7.65,6.3
Debentures,31-01-2012,973472,104.697322,12,2661,0.29,7.65,6.3
Debentures,31-01-2012,991787,101.628736,15,3063,0.49,7.65,6.3
Debentures,31-01-2012,977096,102.592116,20,3068,0.22,7.65,6.3
Debentures,31-01-2012,988034,102.888055,19,3053,0.15,7.65,6.3
Debentures,31-01-2012,965795,179.9737,19,3002,0.19,7.65,6.3
Debentures,31-01-2012,1006479,101.263231,18,2980,0.3,7.65,6.3
Debentures,31-01-2012,996702,105.677404,17,3043,0.23,7.65,6.3
Debentures,31-01-2012,980706,102.790146,5,2991,0.38,7.65,6.3
Debentures,31-01-2012,981818,104.984147,20,3018,0.47,7.65,6.3
Debentures,31-01-2012,981080,106.583386,20,2954,0.53,7.65,6.3
Debentures,31-01-2012,1013446,105.682061,18,3015,0.26,7.65,6.3
Debentures,31-01-2012,988764,105.037251,19,3015,0.51,7.65,6.3
Debentures,31-01-2012,989822,107.786476,19,2943,0.29,7.65,6.3
Debentures,31-01-2012,988664,102.400973,4,2968,0.38,7.65,6.3
Debentures,31-01-2012,989197,104.916948,15,3020,0.17,7.65,6.3
Debentures,31-01-2012,988932,105.800514,20,2992,0.53,7.65,6.3
Debentures,31-01-2012,970338,102.09772,8,3070,0.18,7.65,6.3
Debentures,31-01-2012,1006579,101.834802,19,2171,0.2,7.65,6.3
Debentures,31-01-2012,977374,102.226394,17,2991,0.58,7.65,6.3
Debentures,31-01-2012,985480,107.598729,19,800,0.4,7.65,6.3
Debentures,31-01-2012,970989,107.930079,8,2935,0.6,7.65,6.3
Debentures,31-01-2012,994239,103.076537,20,3009,0.36,7.65,6.3
Debentures,31-01-2012,979778,104.278738,17,2997,0.31,7.65,6.3
Debentures,31-01-2012,979433,106.102447,20,2962,0.25,7.65,6.3
Debentures,31-01-2012,985286,103.665531,8,3044,0.02,7.65,6.3
Debentures,31-01-2012,987549,107.125459,17,2980,0.16,7.65,6.3
Debentures,31-01-2012,976281,106.838713,17,3042,0.6,7.65,6.3
Debentures,31-01-2012,995699,100.545549,17,3014,0.54,7.65,6.3
Debentures,31-01-2012,971358,104.841352,11,3031,0.57,7.65,6.3
Debentures,31-01-2012,984287,103.158992,20,3017,0.5,7.65,6.3
Debentures,31-01-2012,994135,106.481975,20,3013,0.36,7.65,6.3
Debentures,31-01-2012,1000840,104.645666,6,2962,0.2,7.65,6.3
Debentures,31-01-2012,987864,105.082802,17,2987,0.16,7.65,6.3
Debentures,31-01-2012,983512,104.854453,19,2915,0.6,7.65,6.3
Debentures,31-01-2012,982463,104.370567,19,2990,0.24,7.65,6.3
Debentures,31-01-2012,980288,106.583556,20,2990,0.27,7.65,6.3
Debentures,31-01-2012,337154,103.175416,18,1178,0.57,7.65,6.3
Debentures,31-01-2012,977715,101.676413,15,3015,0.43,7.65,6.3
Debentures,31-01-2012,965844,104.322569,13,3005,0.08,7.65,6.3
Debentures,31-01-2012,1010720,106.19674,3,3011,0.3,7.65,6.3
Debentures,31-01-2012,961310,101.489564,16,3042,0.55,7.65,6.3
Debentures,31-01-2012,997034,100.617468,16,2430,0.21,7.65,6.3
Debentures,31-01-2012,996883,103.666961,14,3004,0.33,7.65,6.3
Debentures,31-01-2012,959142,102.42308,10,3044,0.25,7.65,6.3
Debentures,31-01-2012,971943,105.737585,18,3047,0.26,7.65,6.3
Debentures,31-01-2012,981776,101.172157,20,2962,0.6,7.65,6.3
Debentures,31-01-2012,989841,105.735693,20,2984,0.1,7.65,6.3
Debentures,31-01-2012,997676,101.724167,9,2991,0.41,7.65,6.3
Debentures,31-01-2012,994595,101.342924,7,3018,0.2,7.65,6.3
Debentures,31-01-2012,990341,179.9737,19,2991,0.12,7.65,6.3
Debentures,31-01-2012,972981,104.284203,7,3007,0.52,7.65,6.3
Debentures,31-01-2012,992154,101.9416,18,2976,0.44,7.65,6.3
Debentures,31-01-2012,986927,104.9915,16,2957,0.16,7.65,6.3
Debentures,31-01-2012,1019235,110.217432,18,2997,0.01,7.65,6.3
Debentures,31-01-2012,995646,98.951051,16,2993,0.11,7.65,6.3
Debentures,31-01-2012,1003679,103.10574,18,3051,0.33,7.65,6.3
Debentures,31-01-2012,991099,102.37526,18,3033,0.26,7.65,6.3
Debentures,31-01-2012,986984,105.67588,17,3020,0.2,7.65,6.3
Debentures,31-01-2012,972950,102.121201,16,3047,0.38,7.65,6.3
Debentures,31-01-2012,1017442,105.807159,20,2977,0.26,7.65,6.3
Debentures,31-01-2012,990587,105.745482,11,3004,0.13,7.65,6.3
Debentures,31-01-2012,973258,101.432854,20,3041,0.6,7.65,6.3
Debentures,29-02-2012,992791,103.940521,9,2981,0.22,8.83,6.1
Debentures,29-02-2012,981933,105.740387,20,2956,0.36,8.83,6.1
Debentures,29-02-2012,271658,105.117171,20,2993,0.19,8.83,6.1
Debentures,29-02-2012,478108,102.922837,17,3027,0.48,8.83,6.1
Debentures,29-02-2012,964582,99.317057,17,2950,0.45,8.83,6.1
Debentures,29-02-2012,987374,102.534013,1,3060,0.45,8.83,6.1
Debentures,29-02-2012,996328,102.109903,20,3010,0.51,8.83,6.1
Debentures,29-02-2012,964854,104.159584,19,2960,0.43,8.83,6.1
Debentures,29-02-2012,991808,105.770904,17,3016,0.2,8.83,6.1
Debentures,29-02-2012,983260,179.9737,8,1908,0.47,8.83,6.1
Debentures,29-02-2012,970479,101.008376,20,3015,0.25,8.83,6.1
Debentures,29-02-2012,999201,103.801938,16,3021,0.41,8.83,6.1
Debentures,29-02-2012,976633,99.16344,9,2950,0.41,8.83,6.1
Debentures,29-02-2012,990821,106.000355,19,2976,0.14,8.83,6.1
Debentures,29-02-2012,993424,103.498428,16,2966,0.24,8.83,6.1
Debentures,29-02-2012,998341,104.40365,8,2213,0.21,8.83,6.1
Debentures,29-02-2012,1010547,104.290725,15,2967,0.29,8.83,6.1
Debentures,29-02-2012,414867,105.370812,20,1645,0.5,8.83,6.1
Debentures,29-02-2012,979425,101.972397,14,2961,0.37,8.83,6.1
Debentures,29-02-2012,989551,100.021672,14,3043,0.33,8.83,6.1
Debentures,29-02-2012,979785,106.396748,17,2996,0.17,8.83,6.1
Debentures,29-02-2012,997439,98.612497,18,1700,0.47,8.83,6.1
Debentures,29-02-2012,992384,103.172518,18,2980,0.59,8.83,6.1
Debentures,29-02-2012,1007823,103.730694,15,3033,0.21,8.83,6.1
Debentures,29-02-2012,984177,109.521072,13,3015,0.28,8.83,6.1
Debentures,29-02-2012,972681,155.889152,13,3014,0.47,8.83,6.1
Debentures,29-02-2012,998872,103.487804,7,3029,0.52,8.83,6.1
Debentures,29-02-2012,985648,179.9737,14,3017,0.45,8.83,6.1
Debentures,29-02-2012,985155,104.793557,9,3042,0.32,8.83,6.1
Debentures,29-02-2012,975256,103.13076,20,2936,0.26,8.83,6.1
Debentures,29-02-2012,977888,107.145739,18,2987,0.27,8.83,6.1
Debentures,29-02-2012,995692,179.9737,7,2967,0.37,8.83,6.1
Debentures,29-02-2012,988869,103.465357,4,3010,0.21,8.83,6.1
Debentures,29-02-2012,992840,100.842274,3,3004,0.19,8.83,6.1
Debentures,29-02-2012,991210,105.493326,18,2907,0.48,8.83,6.1
Debentures,29-02-2012,950691,102.807195,19,2928,0.24,8.83,6.1
Debentures,29-02-2012,1004442,104.875284,8,3011,0.27,8.83,6.1
Debentures,29-02-2012,965439,105.885074,18,2980,0.54,8.83,6.1
Debentures,29-02-2012,957657,100.905603,15,3057,0.33,8.83,6.1
Debentures,29-02-2012,227086,179.9737,15,1378,0.25,8.83,6.1
Debentures,29-02-2012,979879,102.946188,5,3029,0.45,8.83,6.1
Debentures,29-02-2012,1004185,107.260578,14,2973,0.25,8.83,6.1
Debentures,29-02-2012,981858,102.494939,20,2968,0.37,8.83,6.1
Debentures,29-02-2012,994723,101.727057,14,3001,0.55,8.83,6.1
Debentures,29-02-2012,980160,99.784278,20,2917,0.48,8.83,6.1
Debentures,29-02-2012,977710,106.493186,17,2977,0.51,8.83,6.1
Debentures,29-02-2012,985009,104.797302,20,2991,0.35,8.83,6.1
Debentures,29-02-2012,984882,104.90857,17,2984,0.18,8.83,6.1
Debentures,29-02-2012,1005029,101.618497,12,3025,0.29,8.83,6.1
Debentures,29-02-2012,622290,100.495563,14,2993,0.54,8.83,6.1
Debentures,29-02-2012,975692,104.133872,7,3044,0.17,8.83,6.1
Debentures,29-02-2012,977409,99.963157,18,2970,0.35,8.83,6.1
Debentures,29-02-2012,997808,106.885478,18,3014,0.5,8.83,6.1
Debentures,29-02-2012,975813,106.465018,3,3029,0.32,8.83,6.1
Debentures,29-02-2012,1012527,104.412841,19,3025,0.27,8.83,6.1
Debentures,29-02-2012,958115,103.285384,9,2955,0.47,8.83,6.1
Debentures,29-02-2012,961192,102.531943,8,2991,0.6,8.83,6.1
Debentures,29-02-2012,985477,102.996222,18,2990,0.29,8.83,6.1
Debentures,29-02-2012,987424,106.552084,15,2930,0.41,8.83,6.1
Debentures,29-02-2012,988503,102.222644,20,2982,0.34,8.83,6.1
Debentures,29-02-2012,1008940,99.943581,13,2981,0.08,8.83,6.1
Debentures,29-02-2012,967438,104.149371,19,2992,0.56,8.83,6.1
Debentures,29-02-2012,984591,104.925485,17,2948,0.46,8.83,6.1
Debentures,29-02-2012,950152,100.76232,16,3045,0.49,8.83,6.1
Debentures,29-02-2012,994064,103.571228,7,800,0.44,8.83,6.1
Debentures,29-02-2012,628934,105.56093,20,2975,0.53,8.83,6.1
Debentures,29-02-2012,991605,105.771095,18,2996,0.54,8.83,6.1
Debentures,29-02-2012,980863,110.50024,16,3035,0.25,8.83,6.1
Debentures,29-02-2012,992079,179.9737,15,3029,0.32,8.83,6.1
Debentures,29-02-2012,996207,105.811582,18,3020,0.24,8.83,6.1
Debentures,29-02-2012,977749,102.32976,14,2987,0.54,8.83,6.1
Debentures,29-02-2012,968024,108.194219,10,2894,0.48,8.83,6.1
Debentures,29-02-2012,981809,102.694421,20,2983,0.56,8.83,6.1
Debentures,29-02-2012,985427,104.629812,16,2974,0.3,8.83,6.1
Debentures,29-02-2012,978916,105.491584,19,2978,0.53,8.83,6.1
Debentures,29-02-2012,987755,106.235002,20,3026,0.52,8.83,6.1
Debentures,29-02-2012,984211,100.231054,20,2980,0.26,8.83,6.1
Debentures,29-02-2012,979767,106.291183,9,3059,0.01,8.83,6.1
Debentures,29-02-2012,978436,179.9737,20,3001,0.37,8.83,6.1
Debentures,29-02-2012,974995,104.432659,9,2977,0.21,8.83,6.1
Debentures,29-02-2012,989763,105.845496,20,2918,0.49,8.83,6.1
Debentures,29-02-2012,972152,102.181896,20,2982,0.6,8.83,6.1
Debentures,29-02-2012,997788,105.563441,20,2947,0.2,8.83,6.1
Debentures,29-02-2012,968904,102.383065,9,2999,0.5,8.83,6.1
Debentures,29-02-2012,982139,104.223778,18,2943,0.25,8.83,6.1
Debentures,29-02-2012,998549,105.022167,18,1977,0.2,8.83,6.1
Debentures,29-02-2012,980495,107.312602,9,2989,0.17,8.83,6.1
Debentures,29-02-2012,964713,108.236483,20,1584,0.36,8.83,6.1
Debentures,29-02-2012,1006814,172.561367,16,3011,0.26,8.83,6.1
Debentures,29-02-2012,978665,103.512718,12,2987,0.32,8.83,6.1
Debentures,29-02-2012,979893,101.615581,15,1517,0.3,8.83,6.1
Debentures,29-02-2012,980102,102.942619,20,2980,0.11,8.83,6.1
Debentures,29-02-2012,980568,103.199805,18,2977,0.28,8.83,6.1
Debentures,29-02-2012,561611,105.091707,20,2978,0.38,8.83,6.1
Debentures,29-02-2012,980573,105.084015,13,3107,0.48,8.83,6.1
Debentures,29-02-2012,1003935,102.079688,18,3002,0.3,8.83,6.1
Debentures,29-02-2012,992890,179.9737,20,1898,0.45,8.83,6.1
Debentures,29-02-2012,999978,103.964437,18,3009,0.36,8.83,6.1
Debentures,29-02-2012,987049,103.991604,8,2994,0.46,8.83,6.1
Debentures,29-02-2012,991617,179.9737,20,3017,0.4,8.83,6.1
Debentures,29-02-2012,980308,100.512594,9,3006,0.57,8.83,6.1
Debentures,29-02-2012,988738,101.164273,6,3009,0.44,8.83,6.1
Debentures,29-02-2012,951900,105.106508,20,2967,0.03,8.83,6.1
Debentures,29-02-2012,978757,101.5543,18,3004,0.59,8.83,6.1
Debentures,29-02-2012,977168,104.533287,20,1674,0.41,8.83,6.1
Debentures,29-02-2012,962230,104.81002,20,3009,0.54,8.83,6.1
Debentures,29-02-2012,989080,100.222755,20,2999,0.45,8.83,6.1
Debentures,29-02-2012,995423,100.731681,14,2966,0.6,8.83,6.1
Debentures,29-02-2012,1000811,102.562273,10,2919,0.24,8.83,6.1
Debentures,29-02-2012,980219,102.111095,20,3001,0.14,8.83,6.1
Debentures,29-02-2012,984578,100.848041,15,3021,0.49,8.83,6.1
Debentures,29-02-2012,988943,106.751469,13,909,0.44,8.83,6.1
Debentures,29-02-2012,965177,101.462172,9,1069,0.57,8.83,6.1
Debentures,29-02-2012,978803,104.838511,9,1686,0.38,8.83,6.1
Debentures,29-02-2012,983555,101.586367,20,2986,0.6,8.83,6.1
Debentures,29-02-2012,964796,105.431977,20,2966,0.19,8.83,6.1
Debentures,29-02-2012,994324,104.82383,9,1219,0.52,8.83,6.1
Debentures,29-02-2012,984697,101.705741,10,2962,0.56,8.83,6.1
Debentures,29-02-2012,986458,102.743019,12,3014,0.5,8.83,6.1
Debentures,29-02-2012,200000,103.188989,17,2970,0.38,8.83,6.1
Debentures,29-02-2012,960779,105.44356,11,2937,0.29,8.83,6.1
Debentures,29-02-2012,972928,103.306565,3,800,0.23,8.83,6.1
Debentures,29-02-2012,993216,102.108838,20,2979,0.45,8.83,6.1
Debentures,29-02-2012,1003039,108.935335,20,2978,0.6,8.83,6.1
Debentures,29-02-2012,985330,105.182471,20,3023,0.19,8.83,6.1
Debentures,29-02-2012,980982,100.754252,20,3016,0.43,8.83,6.1
Debentures,29-02-2012,995813,104.831416,17,2971,0.51,8.83,6.1
Debentures,29-02-2012,965583,102.802702,16,2986,0.2,8.83,6.1
Debentures,29-02-2012,974703,107.478499,6,2954,0.26,8.83,6.1
Debentures,29-02-2012,954305,105.157858,18,3016,0.5,8.83,6.1
Debentures,29-02-2012,961071,102.512945,12,2972,0.35,8.83,6.1
Debentures,29-02-2012,1120173,101.387452,14,1327,0.18,8.83,6.1
Debentures,29-02-2012,200000,106.261484,12,3048,0.55,8.83,6.1
Debentures,29-02-2012,981170,106.701834,20,3036,0.53,8.83,6.1
Debentures,29-02-2012,1010912,103.50025,20,2983,0.28,8.83,6.1
Debentures,29-02-2012,358450,106.085227,7,3020,0.07,8.83,6.1
Debentures,29-02-2012,961448,102.108779,6,3014,0.37,8.83,6.1
Debentures,29-02-2012,977293,104.225086,20,2998,0.1,8.83,6.1
Debentures,29-02-2012,990351,105.597664,20,3029,0.42,8.83,6.1
Debentures,29-02-2012,988170,105.170604,17,2078,0.41,8.83,6.1
Debentures,29-02-2012,985436,103.234467,16,3042,0.6,8.83,6.1
Debentures,29-02-2012,950138,106.406283,20,2964,0.51,8.83,6.1
Debentures,29-02-2012,1007236,162.101363,20,3033,0.52,8.83,6.1
Debentures,29-02-2012,992744,179.9737,17,2994,0.38,8.83,6.1
Debentures,29-02-2012,977443,105.094809,18,3020,0.54,8.83,6.1
Debentures,29-02-2012,947203,102.148973,20,2968,0.46,8.83,6.1
Debentures,29-02-2012,971447,103.323349,18,3005,0.24,8.83,6.1
Debentures,29-02-2012,1004528,104.111553,19,2951,0.44,8.83,6.1
Debentures,29-02-2012,964351,104.498719,13,2981,0.34,8.83,6.1
Debentures,29-02-2012,992321,103.501297,13,3022,0.45,8.83,6.1
Debentures,29-02-2012,963162,102.745421,18,2993,0.22,8.83,6.1
Debentures,29-02-2012,975931,102.577628,17,3037,0.19,8.83,6.1
Debentures,29-02-2012,897591,103.392279,16,854,0.55,8.83,6.1
Debentures,29-02-2012,977480,102.354932,17,3000,0.6,8.83,6.1
Debentures,31-03-2012,1008120,108.510796,20,2977,0.42,9.47,5.9
Debentures,31-03-2012,985758,102.98093,13,2983,0.24,9.47,5.9
Debentures,31-03-2012,1003820,104.799704,3,3086,0.51,9.47,5.9
Debentures,31-03-2012,983545,162.254331,6,2962,0.44,9.47,5.9
Debentures,31-03-2012,408221,100.289013,10,1639,0.53,9.47,5.9
Debentures,31-03-2012,1002395,108.166672,8,2460,0.49,9.47,5.9
Debentures,31-03-2012,982036,104.272869,19,2952,0.32,9.47,5.9
Debentures,31-03-2012,993204,102.884002,10,3042,0.43,9.47,5.9
Debentures,31-03-2012,985074,175.18402,9,2993,0.18,9.47,5.9
Debentures,31-03-2012,1000938,105.534392,8,3014,0.6,9.47,5.9
Debentures,31-03-2012,1001436,102.840827,18,2958,0.26,9.47,5.9
Debentures,31-03-2012,974545,104.67893,16,2953,0.23,9.47,5.9
Debentures,31-03-2012,995360,101.673607,17,2981,0.23,9.47,5.9
Debentures,31-03-2012,1007200,104.772031,9,3012,0.56,9.47,5.9
Debentures,31-03-2012,991905,102.737704,15,2921,0.24,9.47,5.9
Debentures,31-03-2012,526944,105.859514,16,3024,0.17,9.47,5.9
Debentures,31-03-2012,304100,105.547065,14,1088,0.51,9.47,5.9
Debentures,31-03-2012,977678,169.569959,13,2932,0.31,9.47,5.9
Debentures,31-03-2012,978551,104.431067,6,2966,0.03,9.47,5.9
Debentures,31-03-2012,982418,100.882623,6,2960,0.19,9.47,5.9
Debentures,31-03-2012,988799,102.811205,16,2992,0.52,9.47,5.9
Debentures,31-03-2012,987362,105.569743,15,3037,0.37,9.47,5.9
Debentures,31-03-2012,1007546,105.621759,17,3039,0.17,9.47,5.9
Debentures,31-03-2012,976412,165.415989,14,3001,0.29,9.47,5.9
Debentures,31-03-2012,976624,104.217345,7,2948,0.2,9.47,5.9
Debentures,31-03-2012,1010424,103.232419,20,3047,0.37,9.47,5.9
Debentures,31-03-2012,967601,101.367966,18,3006,0.36,9.47,5.9
Debentures,31-03-2012,1431870,103.605714,17,2980,0.25,9.47,5.9
Debentures,31-03-2012,976229,106.243029,17,2991,0.2,9.47,5.9
Debentures,31-03-2012,988798,105.210714,18,2990,0.36,9.47,5.9
Debentures,31-03-2012,984819,101.43477,18,3051,0.17,9.47,5.9
Debentures,31-03-2012,1002073,104.998296,20,3020,0.54,9.47,5.9
Debentures,31-03-2012,996761,103.411909,20,3004,0.35,9.47,5.9
Debentures,31-03-2012,267996,101.912222,7,3001,0.48,9.47,5.9
Debentures,31-03-2012,981450,107.328014,11,2949,0.32,9.47,5.9
Debentures,31-03-2012,200000,104.202712,6,3039,0.04,9.47,5.9
Debentures,31-03-2012,987405,103.380189,17,3005,0.56,9.47,5.9
Debentures,31-03-2012,976529,102.050583,17,3007,0.49,9.47,5.9
Debentures,31-03-2012,969143,104.298786,11,2983,0.32,9.47,5.9
Debentures,31-03-2012,980737,103.150373,11,2987,0.56,9.47,5.9
Debentures,31-03-2012,981695,101.978344,18,2959,0.31,9.47,5.9
Debentures,31-03-2012,963370,105.853608,17,3011,0.3,9.47,5.9
Debentures,31-03-2012,1007019,104.897737,8,2974,0.25,9.47,5.9
Debentures,31-03-2012,978717,104.110803,18,2088,0.56,9.47,5.9
Debentures,31-03-2012,1006175,103.581138,18,3049,0.59,9.47,5.9
Debentures,31-03-2012,998058,148.513268,20,3029,0.18,9.47,5.9
Debentures,31-03-2012,964044,103.081568,13,3059,0.24,9.47,5.9
Debentures,31-03-2012,1002088,103.339927,15,2974,0.47,9.47,5.9
Debentures,31-03-2012,991803,105.316141,6,2771,0.52,9.47,5.9
Debentures,31-03-2012,1002184,106.790707,15,2966,0.11,9.47,5.9
Debentures,31-03-2012,972046,103.914156,20,1508,0.38,9.47,5.9
Debentures,31-03-2012,985465,108.484435,16,3030,0.09,9.47,5.9
Debentures,31-03-2012,992901,102.846565,10,2987,0.33,9.47,5.9
Debentures,31-03-2012,994888,104.579533,5,2971,0.54,9.47,5.9
Debentures,31-03-2012,957846,100.881625,17,3029,0.25,9.47,5.9
Debentures,31-03-2012,985242,104.414423,20,2980,0.37,9.47,5.9
Debentures,31-03-2012,969134,103.65127,4,2957,0.07,9.47,5.9
Debentures,31-03-2012,984842,98.707828,18,3059,0.6,9.47,5.9
Debentures,31-03-2012,976181,99.852668,20,2988,0.35,9.47,5.9
