Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Mutual Fund,31-12-2022,542685,10.84,13,14206.32,0.13,5.72,5.1
Mutual Fund,29-02-2016,1890388,9.7,19,16859.74,0.12,5.26,7.3
Mutual Fund,30-11-2013,690320,10.75,16,4276.98,0.18,10.3,4.8
Mutual Fund,31-08-2015,1975639,9.89,6,15859.86,0.41,3.74,7
Mutual Fund,30-11-2013,456344,10.04,20,11620.89,0.17,10.3,4.8
Mutual Fund,31-03-2016,13024,10,18,23752.66,0.16,4.83,7.5
Mutual Fund,31-05-2021,1524798,9.67,9,16678.64,0.5,6.3,1.6
Mutual Fund,30-11-2015,501091,10.69,2,10881.01,0.11,5.41,7.4
Mutual Fund,31-12-2014,598837,10.62,2,15278.17,0.28,4.28,6
Mutual Fund,31-03-2013,724680,10.9,3,13418.28,0.13,8.3,4.6
Mutual Fund,30-06-2014,307856,10.85,16,2834.62,0.43,6.77,4.8
Mutual Fund,31-05-2016,765793,10.42,15,19650.83,0.24,5.76,7.9
Mutual Fund,31-03-2014,491100,10.5,16,9921.37,0.12,8.25,4.6
Mutual Fund,30-11-2018,643646,10.05,18,7071.24,0.08,2.33,7.1
Mutual Fund,31-12-2013,1975639,9.96,3,34809.05,0.12,10.6,4.8
Mutual Fund,31-08-2017,1724038,10.39,2,16008.32,0.47,2.28,5.7
Mutual Fund,31-05-2014,1576315,10.12,3,21291.92,0.45,8.33,4.6
Mutual Fund,30-09-2021,706418,10.36,8,11910.92,0.1,4.35,15
Mutual Fund,31-05-2021,98038,10.72,4,22828.19,0.23,6.3,1.6
Mutual Fund,30-04-2013,1062227,11.18,12,17383.14,0.43,9.6,4.7
Mutual Fund,31-03-2017,851952,9.94,12,11086.73,0.15,3.89,6.7
Mutual Fund,31-12-2012,1058076,9.6,6,31192.88,0.43,10.56,5.1
Mutual Fund,31-07-2012,532826,10.85,11,28433.01,0.36,9.86,5.3
Mutual Fund,28-02-2021,956797,11.2,8,22689.07,0.48,5.03,0.4
Mutual Fund,31-03-2012,1351408,10.74,12,31912.19,0.06,9.47,5.9
Mutual Fund,30-04-2014,1291208,10.34,4,21587.38,0.15,8.48,4.6
Mutual Fund,28-02-2021,852864,10.66,4,12214.04,0.39,5.03,0.4
Mutual Fund,29-02-2012,669733,11.29,2,11209.69,0.06,8.83,6.1
Mutual Fund,31-10-2012,1360666,11.23,11,11185.55,0.38,9.75,5.4
Mutual Fund,31-08-2014,1451128,9.95,17,14053.62,0.5,7.03,5.7
Mutual Fund,31-01-2020,206364,10,16,10747.46,0.48,7.59,4.7
Mutual Fund,31-08-2019,1418132,10.36,4,15184.57,0.45,3.28,5
Mutual Fund,31-07-2015,267181,10.03,17,22912.19,0.13,3.69,7.1
Mutual Fund,28-02-2017,1523005,10.58,3,10859.15,0.49,3.65,7
Mutual Fund,30-04-2018,675269,9.9,16,19069.92,0.45,4.58,7.5
Mutual Fund,31-01-2020,1091509,10.52,4,9771.86,0.42,7.59,4.7
Mutual Fund,30-09-2016,604202,10.63,12,9902.8,0.1,4.39,7.2
Mutual Fund,31-03-2014,359930,9.96,9,8129.73,0.1,8.25,4.6
Mutual Fund,31-12-2022,834525,11.63,13,12369.76,0.09,5.72,5.1
Mutual Fund,31-08-2018,1466975,10.76,18,10620.14,0.47,3.69,8.2
Mutual Fund,29-02-2016,786296,10.62,6,25525.25,0.34,5.26,7.3
Mutual Fund,30-06-2012,1254941,10.68,5,22138.08,0.1,9.93,5.4
Mutual Fund,30-09-2013,1050095,10.66,6,14030.87,0.09,11.2,4.6
Mutual Fund,31-05-2021,516375,10.29,4,18378.71,0.14,6.3,1.6
Mutual Fund,31-05-2015,1047815,10.79,1,22837.87,0.13,5.01,7.5
Mutual Fund,30-04-2014,598567,9.79,12,27727.69,0.15,8.48,4.6
Mutual Fund,31-10-2019,379169,9.88,5,27829.01,0.1,4.62,4.5
Mutual Fund,30-06-2016,638431,11.53,1,12761,0.29,5.77,7.5
Mutual Fund,31-12-2019,1339163,10.1,6,10499.25,0.46,7.75,4.6
Mutual Fund,30-11-2020,693857,10.42,4,16326.92,0.13,6.93,-7.5
Mutual Fund,31-07-2014,688072,11.25,5,18038.85,0.41,7.39,5
Mutual Fund,30-06-2016,316991,10.09,6,13778.61,0.05,5.77,7.5
Mutual Fund,31-10-2020,1554734,10.09,10,23283.23,0.41,7.61,-10
Mutual Fund,31-03-2017,747911,9.89,9,14117.89,0.27,3.89,6.7
Mutual Fund,30-04-2014,727175,10.6,5,12486.2,0.13,8.48,4.6
Mutual Fund,31-01-2020,1208616,10.74,15,7863.4,0.15,7.59,4.7
Mutual Fund,31-12-2017,1608938,10.32,4,7357.53,0.21,5.21,6.7
Mutual Fund,30-11-2017,1256172,11.04,2,29872.9,0.09,4.88,6.3
Mutual Fund,31-08-2017,1526868,9.78,5,9432.58,0.15,2.28,5.7
Mutual Fund,28-02-2018,494301,9.65,6,31362.15,0.37,4.44,7.2
Mutual Fund,31-10-2018,1775408,11.29,19,22869.72,0.43,3.38,7.3
Mutual Fund,30-04-2022,278915,10.47,5,7171.96,0.33,7.79,4.9
Mutual Fund,31-05-2014,1707259,10.05,5,12744.68,0.15,8.33,4.6
Mutual Fund,30-04-2018,490335,11.35,18,14235.66,0.45,4.58,7.5
Mutual Fund,30-11-2018,1381147,10.41,15,20660.34,0.11,2.33,7.1
Mutual Fund,31-08-2018,1390698,10.34,4,21925.01,0.13,3.69,8.2
Mutual Fund,31-07-2021,158591,10.47,13,13943.16,0.2,5.59,10
Mutual Fund,31-08-2012,1975639,9.75,7,10314.15,0.16,10.03,5.5
Mutual Fund,31-01-2018,1643970,10.31,12,10407.74,0.08,5.07,7
Mutual Fund,31-03-2016,269096,9.99,5,18908.71,0.14,4.83,7.5
Mutual Fund,30-09-2021,366899,10.26,16,9851.93,0.15,4.35,15
Mutual Fund,30-11-2020,1612132,10.28,1,12835.36,0.11,6.93,-7.5
Mutual Fund,28-02-2018,1807645,9.99,12,4240.51,0.12,4.44,7.2
Mutual Fund,31-05-2022,1605332,10.74,17,14794.89,0.42,7.04,4.1
Mutual Fund,30-11-2022,1577419,9.84,1,21771.67,0.11,5.88,6.3
Mutual Fund,30-11-2015,1317405,10.04,7,11794.19,0.33,5.41,7.4
Mutual Fund,31-10-2015,355062,10.73,17,33132.11,0.16,5,7.4
Mutual Fund,30-06-2016,701062,9.55,14,12720.1,0.5,5.77,7.5
Mutual Fund,31-07-2012,626361,9.9,16,15717.7,0.1,9.86,5.3
Mutual Fund,31-12-2021,308830,10.62,3,24316.52,0.35,5.66,6.2
Mutual Fund,31-03-2019,78412,10.47,5,24507.1,0.3,2.86,6.3
Mutual Fund,31-03-2012,575315,10.2,3,15862.51,0.39,9.47,5.9
Mutual Fund,31-10-2015,906321,10.84,5,8849.76,0.39,5,7.4
Mutual Fund,31-07-2012,528403,10.43,11,16754.53,0.07,9.86,5.3
Mutual Fund,31-10-2018,1775530,10.18,4,15707.4,0.37,3.38,7.3
Mutual Fund,31-05-2015,506895,10,6,16141.14,0.4,5.01,7.5
Mutual Fund,31-01-2021,400702,10.95,15,24530.77,0.4,4.06,-1
Mutual Fund,30-09-2015,13024,9.46,17,29096.25,0.05,4.41,7.2
Mutual Fund,30-09-2014,13024,10.53,15,21479.99,0.18,5.63,5.5
Mutual Fund,31-01-2014,289851,9.78,4,19407.57,0.44,8.6,4.7
Mutual Fund,31-01-2022,578284,10.95,4,12429.98,0.1,6.01,5.1
Mutual Fund,30-09-2020,1975639,10.77,9,7872.61,0.41,7.27,-15
Mutual Fund,30-11-2017,715230,10.45,3,24177.2,0.13,4.88,6.3
Mutual Fund,31-03-2021,1738786,10.36,12,15218.07,0.37,5.52,0.6
Mutual Fund,31-07-2014,1263232,10,4,11805.89,0.44,7.39,5
Mutual Fund,30-06-2012,1325989,10.52,4,31871.36,0.11,9.93,5.4
Mutual Fund,30-06-2012,13024,10.48,5,26915.7,0.5,9.93,5.4
Mutual Fund,30-04-2017,1416263,9.83,16,15003.67,0.45,2.99,6.3
Mutual Fund,31-01-2018,650348,10.61,2,28167.73,0.3,5.07,7
Mutual Fund,31-12-2016,690327,10.33,7,28385.44,0.04,3.41,7.1
Mutual Fund,30-04-2013,678396,9.86,6,8384.16,0.35,9.6,4.7
Mutual Fund,31-07-2019,1086599,10.54,4,13540.09,0.04,3.19,5.1
Mutual Fund,28-02-2019,421191,10.56,19,20873.03,0.15,2.57,6.6
Mutual Fund,30-06-2019,13024,9.74,4,27629.08,0.12,3.18,5.3
Mutual Fund,31-10-2019,213544,9.91,10,11597.07,0.12,4.62,4.5
Mutual Fund,28-02-2018,610018,9.95,15,25364,0.33,4.44,7.2
Mutual Fund,28-02-2017,1396263,11.1,8,15278.04,0.38,3.65,7
Mutual Fund,30-11-2017,953632,10.8,1,12022.9,0.4,4.88,6.3
Mutual Fund,30-09-2020,547203,10.5,4,16009.71,0.29,7.27,-15
Mutual Fund,31-08-2016,748585,9.76,2,19044.45,0.12,5.05,7.1
Mutual Fund,31-01-2013,916461,9.8,1,13677.32,0.14,8.6,4.9
Mutual Fund,31-01-2021,1248082,10.39,8,10997.96,0.16,4.06,-1
Mutual Fund,30-11-2014,1437191,10.2,18,11610.31,0.36,3.27,5.3
Mutual Fund,31-12-2018,237986,10.54,7,15677.66,0.38,2.11,6.9
Mutual Fund,31-01-2017,1719690,10.86,16,13223.29,0.32,3.17,7.1
Mutual Fund,30-06-2019,311542,10.44,4,20007.9,0.16,3.18,5.3
Mutual Fund,30-11-2022,1758809,11.51,3,14431.74,0.16,5.88,6.3
Mutual Fund,30-11-2020,466951,9.8,6,11324.37,0.15,6.93,-7.5
Mutual Fund,31-10-2020,545556,9.91,10,25079.34,0.5,7.61,-10
Mutual Fund,31-05-2013,1586681,10.94,1,19775.85,0.07,9.4,4.8
Mutual Fund,31-05-2020,1592749,9.94,1,18222.98,0.48,6.27,3.1
Mutual Fund,30-11-2019,1397979,10.66,15,8776.4,0.12,5.54,4.5
Mutual Fund,31-08-2019,286015,11.1,17,26514.44,0.4,3.28,5
Mutual Fund,31-05-2015,945491,10.23,2,18476.64,0.18,5.01,7.5
Mutual Fund,29-02-2020,725337,10.6,4,11451.02,0.36,6.58,4.7
Mutual Fund,31-03-2018,278848,10.46,3,14471.35,0.36,4.28,7.3
Mutual Fund,31-08-2022,1128415,10.07,6,9441.83,0.31,7,13.5
Mutual Fund,31-03-2016,781717,10.59,2,12165.89,0.46,4.83,7.5
Mutual Fund,30-06-2015,669163,10.51,6,6832.44,0.13,5.4,7.3
Mutual Fund,30-09-2022,857430,10.75,12,14010.79,0.01,7.41,9
Mutual Fund,31-12-2019,325255,9.84,19,1208.22,0.1,7.75,4.6
Mutual Fund,30-04-2017,1718309,10.06,1,14855.75,0.13,2.99,6.3
Mutual Fund,31-08-2014,1563066,10.25,8,12927.28,0.09,7.03,5.7
Mutual Fund,29-02-2012,1261784,10.54,6,13298.07,0.36,8.83,6.1
Mutual Fund,31-07-2013,616457,11.21,1,23349.23,0.19,10.6,4.5
Mutual Fund,29-02-2016,1265697,10.75,18,18349.18,0.15,5.26,7.3
Mutual Fund,31-12-2016,1324287,9.77,4,7676.41,0.1,3.41,7.1
Mutual Fund,30-09-2012,1515902,10.18,12,5967.81,0.48,9.73,5.4
Mutual Fund,31-10-2021,425224,10.62,4,26502.99,0.07,4.48,13
Mutual Fund,31-07-2016,422264,10,4,3088.2,0.35,6.07,7.3
Mutual Fund,31-12-2017,1948720,11.25,1,14649.97,0.28,5.21,6.7
Mutual Fund,30-04-2016,1424324,10.59,2,22192.94,0.33,5.47,7.7
Mutual Fund,31-07-2020,858639,10.65,2,15321.42,0.17,6.73,-15
Mutual Fund,30-09-2016,1975639,10.37,5,17027.1,0.19,4.39,7.2
Mutual Fund,31-07-2017,502732,10.58,11,24548.72,0.42,2.36,5.7
Mutual Fund,31-05-2014,278696,10.04,1,11992.14,0.15,8.33,4.6
Mutual Fund,30-11-2018,1444033,10.03,16,2473.71,0.08,2.33,7.1
Mutual Fund,31-03-2013,1975639,11.63,7,17793.95,0.18,8.3,4.6
Mutual Fund,31-03-2021,900041,10.45,10,8208.34,0.12,5.52,0.6
Mutual Fund,29-02-2020,1272222,10.17,6,7113.68,0.38,6.58,4.7
Mutual Fund,31-07-2020,1610501,9.94,7,8908.13,0.29,6.73,-15
Mutual Fund,31-05-2022,254389,10.65,15,23638.2,0.42,7.04,4.1
Mutual Fund,28-02-2017,792130,10.71,15,12646.88,0.5,3.65,7
Mutual Fund,31-05-2020,1122287,10.51,10,5117.31,0.44,6.27,3.1
Mutual Fund,30-11-2013,195184,9.82,14,11778.7,0.16,10.3,4.8
Mutual Fund,30-09-2012,274742,10.26,3,27202.3,0.11,9.73,5.4
Mutual Fund,31-10-2022,266305,9.84,1,8672.76,0.1,6.77,7
Mutual Fund,31-03-2016,677948,11.22,5,24610.43,0.33,4.83,7.5
Mutual Fund,30-06-2013,350308,10.11,10,19545.37,0.2,10.5,4.6
Mutual Fund,31-08-2019,668878,10.38,13,24867.26,0.33,3.28,5
Mutual Fund,31-10-2018,1574538,10.54,1,8242.01,0.29,3.38,7.3
Mutual Fund,30-09-2017,555033,10.08,3,9953.21,0.13,2.28,6
Mutual Fund,31-12-2013,523379,9.98,13,20973.51,0.48,10.6,4.8
Mutual Fund,31-07-2020,535324,9.79,9,22189.59,0.01,6.73,-15
Mutual Fund,31-03-2012,342714,10.93,6,33617.51,0.45,9.47,5.9
Mutual Fund,31-12-2017,410163,9.42,7,18583.88,0.46,5.21,6.7
Mutual Fund,29-02-2016,1319881,10.06,7,30788.62,0.31,5.26,7.3
Mutual Fund,31-07-2017,317573,9.84,20,6564.18,0.5,2.36,5.7
Mutual Fund,31-12-2015,879534,11.18,6,12567.58,0.14,5.62,7.3
Mutual Fund,31-05-2017,660198,10.07,17,36028.9,0.4,2.18,6.1
Mutual Fund,30-04-2018,929079,10.59,4,14400.1,0.39,4.58,7.5
Mutual Fund,31-08-2020,956514,10.63,8,12766.31,0.36,6.69,-23.9
Mutual Fund,31-03-2019,544904,10.13,13,30101.75,0.49,2.86,6.3
Mutual Fund,30-11-2018,1719777,9.97,4,6862.33,0.5,2.33,7.1
Mutual Fund,31-07-2019,597545,11.22,3,14406.55,0.48,3.19,5.1
Mutual Fund,31-10-2012,928867,9.86,5,11323.51,0.38,9.75,5.4
Mutual Fund,31-07-2022,1016739,10.02,15,14861.09,0.09,6.71,9
Mutual Fund,30-06-2013,963435,9.8,13,30809.92,0.5,10.5,4.6
Mutual Fund,31-12-2019,413735,10.06,3,14934.07,0.12,7.75,4.6
Mutual Fund,31-08-2020,1391314,10.48,1,8952.92,0.13,6.69,-23.9
Mutual Fund,31-08-2014,941194,10.55,7,11144.98,0.11,7.03,5.7
Mutual Fund,30-11-2015,13024,9.89,5,22237.51,0.05,5.41,7.4
Mutual Fund,31-12-2015,965412,10.59,17,13846.7,0.35,5.62,7.3
Mutual Fund,30-11-2018,1975639,10.41,6,8838.9,0.46,2.33,7.1
Mutual Fund,31-07-2012,239043,10.45,6,8794.64,0.46,9.86,5.3
Mutual Fund,31-03-2016,1157569,10.63,10,10698.67,0.27,4.83,7.5
Mutual Fund,30-09-2013,696902,10.58,14,15347.49,0.4,11.2,4.6
Mutual Fund,31-07-2018,844978,10.48,12,5155.23,0.41,4.17,8
Mutual Fund,28-02-2018,1770202,9.85,12,13492.66,0.45,4.44,7.2
Mutual Fund,31-10-2015,700906,10.46,3,12137.51,0.14,5,7.4
Mutual Fund,31-07-2012,1795720,10.9,5,5711.94,0.34,9.86,5.3
Mutual Fund,28-02-2019,862084,11.38,8,6177.88,0.02,2.57,6.6
Mutual Fund,30-04-2018,785931,10.67,13,19478.74,0.3,4.58,7.5
Mutual Fund,31-05-2016,483013,10.66,4,33594.35,0.43,5.76,7.9
Mutual Fund,30-04-2017,113729,10.02,5,28871.22,0.02,2.99,6.3
Mutual Fund,30-06-2016,1808209,9.84,1,6157.39,0.04,5.77,7.5
Mutual Fund,31-12-2019,1102737,10.17,5,36558.57,0.19,7.75,4.6
Mutual Fund,28-02-2014,1564315,10.59,17,17873.45,0.44,7.88,4.7
Mutual Fund,31-10-2021,1613770,9.73,1,9553.59,0.4,4.48,13
Mutual Fund,30-11-2013,1395415,10.17,1,23981.22,0.17,10.3,4.8
Mutual Fund,30-09-2020,1159179,9.77,8,25847.59,0.5,7.27,-15
Mutual Fund,31-08-2017,69981,9.94,6,12204.18,0.09,2.28,5.7
Mutual Fund,31-03-2012,319598,9.96,7,15406.64,0.15,9.47,5.9
Mutual Fund,30-04-2021,309941,10.41,6,13104.42,0.18,4.23,0.9
Mutual Fund,30-09-2014,1144153,10.69,2,10411.45,0.18,5.63,5.5
Mutual Fund,30-04-2014,141601,11.24,8,13130.11,0.21,8.48,4.6
Mutual Fund,30-11-2012,391574,10.03,12,25647.4,0.36,9.9,5.3
Mutual Fund,30-04-2022,1723305,9.95,13,15385.55,0.14,7.79,4.9
Mutual Fund,30-06-2017,210155,10.59,6,8912.54,0.29,1.46,5.9
Mutual Fund,31-01-2021,96996,10.16,15,17933.62,0.17,4.06,-1
Mutual Fund,28-02-2022,256604,10.83,13,25737,0.14,6.07,5.4
Mutual Fund,30-11-2014,1047213,10.08,2,15831.76,0.43,3.27,5.3
Mutual Fund,30-04-2013,612395,10.85,16,24681.47,0.4,9.6,4.7
Mutual Fund,31-12-2015,13024,10.12,10,6671.22,0.16,5.62,7.3
Mutual Fund,30-11-2018,1075656,10.33,1,12109.3,0.36,2.33,7.1
Mutual Fund,30-06-2016,288568,10.18,15,18203.83,0.38,5.77,7.5
Mutual Fund,30-09-2021,1775993,9.69,15,13326.18,0.14,4.35,15
Mutual Fund,31-10-2019,649760,9.82,2,28412.37,0.43,4.62,4.5
Mutual Fund,30-06-2019,1416978,10.72,16,14378.6,0.33,3.18,5.3
Mutual Fund,31-08-2020,13024,10.88,6,28033.75,0.48,6.69,-23.9
Mutual Fund,31-03-2012,1027849,10.59,15,16103.38,0.36,9.47,5.9
Mutual Fund,30-09-2013,1172805,10.64,11,17473.66,0.09,11.2,4.6
Mutual Fund,31-03-2016,1212553,10.41,11,12312.14,0.44,4.83,7.5
Mutual Fund,31-10-2016,850505,9.98,14,9069.3,0.16,4.2,7.3
Mutual Fund,31-05-2013,819519,10.55,7,15075.72,0.09,9.4,4.8
Mutual Fund,31-03-2019,1461462,10.75,14,2069.04,0.05,2.86,6.3
Mutual Fund,30-06-2019,616756,10.55,9,13738.8,0.34,3.18,5.3
Mutual Fund,30-04-2014,250083,10.69,4,22887.76,0.38,8.48,4.6
Mutual Fund,31-07-2018,358649,10.1,4,14517.98,0.11,4.17,8
Mutual Fund,30-11-2016,1975338,9.98,4,9836.08,0.16,3.63,7.3
Mutual Fund,31-07-2018,294044,10.35,1,15588.83,0.47,4.17,8
Mutual Fund,30-11-2017,853539,10.61,14,5494.67,0.2,4.88,6.3
Mutual Fund,31-08-2016,782039,10.02,1,17573.92,0.5,5.05,7.1
Mutual Fund,30-09-2017,235437,9.68,13,11709.88,0.09,2.28,6
Mutual Fund,31-07-2015,64538,10.49,15,5302.43,0.32,3.69,7.1
Mutual Fund,31-05-2013,530543,9.93,9,9358.59,0.09,9.4,4.8
Mutual Fund,31-01-2019,455809,10.68,12,23189.53,0.5,1.97,6.7
Mutual Fund,31-05-2021,13024,10.1,1,12985.49,0.01,6.3,1.6
Mutual Fund,31-03-2022,1081954,9.37,4,22554.94,0.37,6.95,4.9
Mutual Fund,30-06-2016,613128,10.84,3,19185.27,0.18,5.77,7.5
Mutual Fund,28-02-2013,1526389,10.49,9,9862.4,0.5,7.9,4.5
Mutual Fund,31-12-2019,1348530,10.65,8,19801.98,0.43,7.75,4.6
Mutual Fund,30-04-2014,155715,9.83,17,23729.95,0.33,8.48,4.6
Mutual Fund,31-05-2020,1288121,9.75,10,24711.74,0.39,6.27,3.1
Mutual Fund,31-01-2021,627308,10.39,14,7049.34,0.07,4.06,-1
Mutual Fund,31-05-2016,1032536,10.8,12,13402.52,0.23,5.76,7.9
Mutual Fund,30-11-2018,1756996,9.99,4,7731.02,0.11,2.33,7.1
Mutual Fund,31-10-2017,1577406,11.33,4,14773.26,0.13,3.58,6.1
Mutual Fund,30-09-2016,1084727,9.72,3,23874.86,0.13,4.39,7.2
Mutual Fund,28-02-2019,284389,11.59,6,17373.35,0.3,2.57,6.6
Mutual Fund,30-11-2020,368628,10.18,16,7763.16,0.15,6.93,-7.5
Mutual Fund,31-07-2016,1619696,10.66,4,9840.68,0.14,6.07,7.3
Mutual Fund,31-07-2016,359685,10.3,13,32206.18,0.48,6.07,7.3
Mutual Fund,31-08-2016,755618,10.1,6,10895.61,0.37,5.05,7.1
Mutual Fund,31-07-2019,1836292,11.49,4,28327.31,0.35,3.19,5.1
Mutual Fund,30-11-2020,898895,9.75,12,12019.66,0.2,6.93,-7.5
Mutual Fund,30-06-2017,1883990,10.67,14,27677.5,0.16,1.46,5.9
Mutual Fund,30-06-2012,297348,10.56,7,19936.19,0.45,9.93,5.4
Mutual Fund,31-07-2014,1188850,10.18,4,8593.65,0.4,7.39,5
Mutual Fund,30-09-2017,1760609,11.61,12,11039.38,0.11,2.28,6
Mutual Fund,31-12-2014,848638,10.11,13,19830.44,0.13,4.28,6
Mutual Fund,31-03-2013,1300514,10.86,16,10580.63,0.39,8.3,4.6
Mutual Fund,31-01-2015,570423,10.73,1,8874.02,0.46,5.19,6.3
Mutual Fund,28-02-2022,678624,10.63,8,23671.72,0.31,6.07,5.4
Mutual Fund,31-08-2022,550859,10.48,2,29029.94,0.4,7,13.5
Mutual Fund,30-09-2022,515798,10.81,16,24015.65,0.4,7.41,9
Mutual Fund,29-02-2016,770177,10.53,4,31786.11,0.24,5.26,7.3
Mutual Fund,31-12-2019,261870,9.89,10,18715.35,0.17,7.75,4.6
Mutual Fund,31-03-2019,840577,9.9,6,12459.72,0.13,2.86,6.3
Mutual Fund,31-03-2016,1017601,10.78,9,11422.27,0.33,4.83,7.5
Mutual Fund,31-03-2018,13024,10.97,7,15105.93,0.14,4.28,7.3
Mutual Fund,31-10-2012,1448176,9.97,1,13021.23,0.1,9.75,5.4
Mutual Fund,31-01-2016,1975639,10.33,14,11328.03,0.11,5.69,7.2
Mutual Fund,28-02-2019,742710,10.01,2,27703.46,0.12,2.57,6.6
Mutual Fund,30-11-2022,678408,10.13,5,23042.46,0.32,5.88,6.3
Mutual Fund,30-04-2021,480836,10.16,5,17948.19,0.08,4.23,0.9
Mutual Fund,31-01-2020,1618512,9.79,3,9758.85,0.4,7.59,4.7
Mutual Fund,31-03-2019,1412943,9.99,7,11174.1,0.33,2.86,6.3
Mutual Fund,31-07-2015,1271017,9.89,9,12382.65,0.13,3.69,7.1
Mutual Fund,30-04-2018,843657,11.03,1,23297.5,0.33,4.58,7.5
Mutual Fund,31-10-2021,199622,9.99,4,14117.54,0.43,4.48,13
Mutual Fund,31-12-2020,129174,10.35,17,14403.56,0.2,4.59,-3
Mutual Fund,31-08-2022,1609289,10.86,13,21231.05,0.37,7,13.5
Mutual Fund,30-04-2015,13024,9.75,11,5465.27,0.08,4.87,7.4
Mutual Fund,31-05-2019,823170,10.04,2,2258.21,0.47,3.05,5.8
Mutual Fund,30-04-2018,1228536,10.19,14,22254.52,0.29,4.58,7.5
Mutual Fund,31-05-2016,752283,10.66,7,6820.21,0.45,5.76,7.9
Mutual Fund,30-11-2019,305903,11.11,14,12282.15,0.14,5.54,4.5
Mutual Fund,30-11-2016,1081768,9.79,19,11934.06,0.48,3.63,7.3
Mutual Fund,31-12-2015,648324,11.63,16,27787.41,0.27,5.62,7.3
Mutual Fund,31-08-2018,934011,10.57,6,6107.07,0.02,3.69,8.2
Mutual Fund,31-08-2012,1234735,9.7,17,10655.47,0.27,10.03,5.5
Mutual Fund,31-05-2021,1263153,10.7,2,30230.56,0.38,6.3,1.6
Mutual Fund,31-01-2018,602604,9.93,2,2882.26,0.14,5.07,7
Mutual Fund,31-07-2020,1689494,11.62,8,17141.35,0.12,6.73,-15
Mutual Fund,31-01-2018,228298,9.91,6,13506.24,0.17,5.07,7
Mutual Fund,30-04-2022,1739478,10.81,7,14291.87,0.04,7.79,4.9
Mutual Fund,29-02-2012,803023,10.02,2,11633.17,0.08,8.83,6.1
Mutual Fund,31-05-2012,520695,10.5,7,10612.52,0.3,10.36,5.3
Mutual Fund,31-08-2018,1781835,10.83,5,3876.83,0.19,3.69,8.2
Mutual Fund,31-03-2017,1309028,9.84,17,10518.22,0.08,3.89,6.7
Mutual Fund,31-07-2015,220721,10.6,15,29040.12,0.46,3.69,7.1
Mutual Fund,30-11-2016,1951746,10.8,7,11420.36,0.43,3.63,7.3
Mutual Fund,30-11-2012,1256987,9.97,1,10310.35,0.2,9.9,5.3
Mutual Fund,30-04-2022,1572948,10.22,2,9927.6,0.13,7.79,4.9
Mutual Fund,30-09-2019,626176,9.71,16,15139.19,0.11,3.99,4.7
Mutual Fund,28-02-2014,364555,10.56,13,11216.48,0.5,7.88,4.7
Mutual Fund,31-03-2020,935892,9.88,1,5260.17,0.16,5.84,4.1
Mutual Fund,31-05-2015,733568,9.54,18,23874.56,0.2,5.01,7.5
Mutual Fund,31-01-2022,890913,10.78,15,16442.69,0.41,6.01,5.1
Mutual Fund,31-10-2021,1115744,10.78,15,27993.51,0.34,4.48,13
Mutual Fund,31-01-2021,191895,10.74,6,15337.35,0.31,4.06,-1
